COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
566,494,2628,18-00,23
566,494,2653,00-10,86
566,494,2653,10-18,512
566,494,2653,18-00,515
566,494,2733,00-10,4
566,494,2902,00-10,8
566,494,2902,10-18,744
566,494,2902,18-00,441
566,494,3303,10-18,112
566,494,3305,10-18,109
566,494,3307,10-18,182
566,495,141,00-10,131
566,524,186,00-10,99
566,524,186,10-18,380
566,524,186,18-00,195
566,524,2102,00-10,11
566,524,2102,10-18,2
566,538,205,00-10,8
566,538,205,10-18,9
566,538,205,18-00,86
566,538,206,00-10,2
566,538,207,00-10,3
566,538,2091,00-10,45
566,538,2091,10-18,214
566,538,2091,18-00,58
566,538,2103,00-10,3
566,538,2605,00-10,1
566,538,2605,10-18,12
566,538,8199,00-10,8
566,538,8199,10-18,42
566,538,8199,18-00,34
566,538,8215,00-10,1
566,538,8216,00-10,1
566,582,220,00-10,713
566,582,220,10-18,4849
566,582,220,18-00,3184
566,582,222,00-10,17
566,582,222,18-00,12
566,G,3338,00-10,258
566,G,3338,10-18,780
566,G,3338,18-00,244
566,G,3382,00-10,17
566,G,3382,10-18,324
566,G,3382,18-00,70
566,G,3649,00-10,5
566,G,3649,10-18,14
566,G,3649,18-00,52
567,124,647,00-10,279
567,124,647,10-18,1773
567,124,647,18-00,435
567,124,2640,00-10,31
567,124,2640,18-00,361
567,125,666,00-10,6
567,125,667,00-10,196
567,125,667,10-18,954
567,125,667,18-00,463
567,125,2199,00-10,37
567,125,2199,10-18,183
567,125,2199,18-00,51
567,127,695,10-18,38
567,127,695,18-00,92
567,127,696,00-10,1
567,127,696,18-00,7
567,127,701,00-10,62
567,127,701,10-18,22
567,127,705,10-18,219
567,127,705,18-00,136
567,127,706,00-10,5
567,127,706,10-18,73
567,127,706,18-00,55
567,127,709,00-10,23
567,127,709,10-18,54
567,127,2410,10-18,318
567,127,2410,18-00,120
567,127,2525,00-10,21
567,127,2525,10-18,1
567,127,2525,18-00,66
567,127,2667,10-18,9
567,127,2667,18-00,43
567,127,2670,10-18,268
567,127,2670,18-00,79
567,127,2672,00-10,53
567,127,2672,10-18,5
